base_recall,attack_recall,base_prec,attack_prec,alc,base_prec_as_sampled,attack_prec_as_sampled,alc_as_sampled,alc_low,alc_high,base_si,base_si_low,base_si_high,base_n,attack_si,attack_si_low,attack_si_high,attack_n,secret_column,base_count,attack_count
0.975,0.9625,0.41446877779468405,0.9762407873587828,0.9594063045328427,0.41025641025641024,1.0,0.9999829225902647,0.9007531092392437,0.9999854498764932,0.2132994466389635,0.3078190544752023,0.5211185011141658,78,0.047518425282433996,0.9524815747175658,0.9999999999999998,77,AGEP__discretized,80,80
0.975,0.975,0.41446877779468405,0.976531095143903,0.9599021829655053,0.41025641025641024,1.0,0.999983008546729,0.9019656257083878,0.9999855231122592,0.2132994466389635,0.3078190544752023,0.5211185011141658,78,0.04693780971219441,0.9530621902878058,1.0000000000000002,78,AGEP__discretized,80,80
1.0,1.0,0.41650908633435857,0.9651636618514304,0.9402805765467278,0.4125,0.9875,0.9787067454170992,0.8588586051000218,0.9967777473947661,0.21090102041347963,0.3110585761276187,0.5219595965410984,80,0.06525272525623427,0.9325372992233133,0.9977900244795476,80,AGEP__discretized,80,80
1.0,1.0,0.8835117038818898,0.9875148778159618,0.8927441636453615,0.8933333333333333,1.0,0.999906258788238,0.6257101286926928,0.99993985187535,0.09951585293207355,0.8337537774158531,0.9332696303479266,150,0.02497024436807682,0.9750297556319234,1.0000000000000002,150,HISP,150,150
1.0,1.0,0.950549503837798,0.950549503837798,0.0,1.0,1.0,0.0,-9890.099232375616,0.999898899002375,0.09890099232440408,0.9010990076755959,1.0,35,0.09890099232440408,0.9010990076755959,1.0,35,HOUSING_TYPE,35,35
1.0,1.0,0.8168132224537445,0.9916067244971899,0.9541297853850709,0.8222222222222222,1.0,0.9999437531638842,0.8740577780576483,0.9999570864144552,0.09965932178180026,0.7669835615628444,0.8666428833446447,225,0.01678655100562021,0.9832134489943798,1.0,225,MSP,225,225
1.0,1.0,0.8289451451446211,0.9911012026102792,0.9479215213595307,0.8349056603773585,1.0,0.999939432240104,0.853045758440758,0.99995474127848,0.0997740677028005,0.7790581112932209,0.8788321789960214,212,0.017797594779440984,0.9822024052205588,0.9999999999999998,212,NOC,212,212
1.0,1.0,0.7259990868911708,0.9896646882642035,0.9622448915686519,0.7307692307692307,1.0,0.9999628585223975,0.9015493783508429,0.9999704107830002,0.12790008142479348,0.662049046178774,0.7899491276035675,182,0.020670623471592986,0.979329376528407,1.0,182,NPF,182,182
1.0,1.0,0.950549503837798,0.950549503837798,0.0,1.0,1.0,0.0,-9890.099232375616,0.999898899002375,0.09890099232440408,0.9010990076755959,1.0,35,0.09890099232440408,0.9010990076755959,1.0,35,PUMA,35,35
1.0,1.0,0.8312324600227061,0.9909757740762097,0.9464725820449467,0.8373205741626795,1.0,0.9999385331901652,0.848021281535732,0.9999542821277847,0.09991059880538733,0.7812771606200124,0.8811877594253997,209,0.018048451847580638,0.9819515481524194,1.0,209,RAC1P,209,209
1.0,1.0,0.6794241894502606,0.9879078835928141,0.9622499935775908,0.6838709677419355,1.0,0.9999683683475317,0.9024981851180653,0.9999745566666103,0.14488890382557518,0.606979737537473,0.7518686413630482,155,0.024184232814371764,0.9758157671856282,1.0,155,SEX,155,155
