base_recall,attack_recall,base_prec,attack_prec,alc,base_prec_as_sampled,attack_prec_as_sampled,alc_as_sampled,alc_low,alc_high,base_si,base_si_low,base_si_high,base_n,attack_si,attack_si_low,attack_si_high,attack_n,secret_column,base_count,attack_count
0.32558139534883723,0.32558139534883723,0.44395077162411684,0.3318523148723505,-0.20093973895236064,0.42857142857142855,0.2857142857142857,-0.24920549995443736,-1.6992120524042416,0.42217896939808786,0.4602855651587513,0.2138079890447412,0.6740935542034925,14,0.42927705685316264,0.1172137864457692,0.5464908432989318,14,AGEP__discretized,43,43
0.4418604651162791,0.4418604651162791,0.434329938740996,0.34676985706232405,-0.15459656723598011,0.42105263157894735,0.3157894736842105,-0.18159615157966583,-1.330512313650297,0.4009897885398941,0.4058220518329072,0.23141891282454238,0.6372409646574496,19,0.3862521323688025,0.1536437908779228,0.5398959232467253,19,AGEP__discretized,43,43
0.6046511627906976,0.5813953488372093,0.3659582956706485,0.34397460516902867,-0.03468518214232717,0.34615384615384615,0.32,-0.040009563732102,-0.7910170814954545,0.3991731033753075,0.3436719848824866,0.19412230322940519,0.5377942881118918,26,0.34384540419989773,0.17205190306907983,0.5158973072689775,25,AGEP__discretized,43,43
0.6976744186046512,0.6744186046511628,0.3522522321956614,0.30207943759476946,-0.07745759731191251,0.3333333333333333,0.27586206896551724,-0.0862055404986077,-0.7485897394717907,0.32788987706708084,0.3198945027178002,0.1923049808367613,0.5121994835545615,30,0.3101837731477798,0.14698755102087957,0.45717132416865935,29,AGEP__discretized,43,43
0.8372093023255814,0.813953488372093,0.3745025873047866,0.28116166956449806,-0.14922439747563893,0.3611111111111111,0.2571428571428571,-0.16273014733814037,-0.8042146413747551,0.2527347555102913,0.29949331567926585,0.2247559294651537,0.5242492451444195,36,0.2790627977477872,0.1416302706906045,0.42069306843839166,35,AGEP__discretized,43,43
0.9069767441860465,0.9302325581395349,0.3949615600431814,0.27190540029932164,-0.20338160884789205,0.38461538461538464,0.25,-0.21874573459567706,-0.869578493060698,0.20373676204659258,0.2920956507751358,0.2489137346556135,0.5410093854307493,39,0.26006842781671724,0.14187118639096302,0.40193961420768026,40,AGEP__discretized,43,43
1.0,1.0,0.36123404002250337,0.2544909938859674,-0.16710560951651404,0.3488372093023256,0.23255813953488372,-0.17856868626660374,-0.7309648393224115,0.19754388011320262,0.2740962800979525,0.2241858999735271,0.49828218007147956,43,0.2459084181842452,0.13153678479384479,0.37744520297809,43,AGEP__discretized,43,43
0.21367521367521367,0.11965811965811966,0.9334038745304756,0.7802461418794158,-2.2299902672034264,1.0,0.8571428571428571,-31.530062586442675,-85.28102599592533,0.6222205923825739,0.1331922509390484,0.8668077490609514,0.9999999999999998,25,0.3593198736982386,0.6005862050302965,0.9599060787285351,14,DEAR,117,117
0.21367521367521367,0.26495726495726496,0.9334038745304756,0.8587679857014371,-1.0256696045627416,1.0,0.9032258064516129,-20.103140675877135,-52.29437420771677,0.735044813300341,0.1331922509390484,0.8668077490609514,0.9999999999999998,25,0.21553474027073105,0.7510006155660716,0.9665353558368026,31,DEAR,117,117
0.3162393162393162,0.358974358974359,0.9529710870813988,0.8490290320511603,-2.111441038403234,1.0,0.8809523809523809,-60.2704062254704,-126.89297573994665,0.4443397376779285,0.09405782583720246,0.9059421741627975,1.0,37,0.19806586934251436,0.7499960973799031,0.9480619667224175,42,DEAR,117,117
